1001 | Popescu Ana | Liceul Teoretic Nr.1 | Real | Romana | Matematica
1002 | Ionescu Mihai | Colegiul National | Uman | Franceza | Istorie
1003 | Georgescu Elena | Liceul Teoretic Nr.2 | Real | Engleza | Fizica
1004 | Dumitrescu Andrei | Liceul Pedagogic | Real | Romana | Chimie
1005 | Stanescu Ioana | Scoala Gimnaziala Nr.3 | Uman | Engleza | Geografie
1006 | Radu Alexandru | Liceul Teoretic Nr.1 | Real | Franceza | Biologie
1007 | Marin Maria | Colegiul National | Uman | Romana | Istorie
1008 | Iliescu Diana | Liceul Teoretic Nr.2 | Real | Engleza | Fizica
1009 | Voicu Cristian | Liceul Pedagogic | Real | Romana | Matematica
1010 | Constantinescu Gabriel | Scoala Gimnaziala Nr.3 | Uman | Franceza | Geografie
1011 | Popescu Elena | Liceul Teoretic Nr.1 | Real | Engleza | Chimie
1012 | Ionescu Andrei | Colegiul National | Real | Romana | Biologie
1013 | Georgescu Ioana | Liceul Teoretic Nr.2 | Uman | Engleza | Istorie
1014 | Dumitrescu Alexandru | Liceul Pedagogic | Real | Franceza | Fizica
1015 | Stanescu Maria | Scoala Gimnaziala Nr.3 | Uman | Romana | Matematica
1016 | Radu Diana | Liceul Teoretic Nr.1 | Real | Engleza | Chimie
1017 | Marin Cristian | Colegiul National | Uman | Romana | Geografie
1018 | Iliescu Gabriel | Liceul Teoretic Nr.2 | Real | Franceza | Fizica
1019 | Voicu Ana | Liceul Pedagogic | Uman | Engleza | Biologie
1020 | Constantinescu Mihai | Scoala Gimnaziala Nr.3 | Uman | Romana | Istorie
1021 | Popescu Andrei | Liceul Teoretic Nr.1 | Real | Franceza | Matematica
1022 | Ionescu Diana | Colegiul National | Uman | Engleza | Geografie
1023 | Georgescu Gabriel | Liceul Teoretic Nr.2 | Real | Romana | Fizica
1024 | Dumitrescu Elena | Liceul Pedagogic | Uman | Franceza | Chimie
1025 | Stanescu Alexandru | Scoala Gimnaziala Nr.3 | Uman | Engleza | Istorie
1026 | Radu Maria | Liceul Teoretic Nr.1 | Real | Romana | Biologie
1027 | Marin Ana | Colegiul National | Uman | Franceza | Matematica
1028 | Iliescu Mihai | Liceul Teoretic Nr.2 | Uman | Romana | Geografie
1029 | Voicu Elena | Liceul Pedagogic | Real | Engleza | Fizica
1030 | Constantinescu Andrei | Scoala Gimnaziala Nr.3 | Real | Franceza | Chimie
1031 | Ivan Ivanov | CEITI | Real | Romana | Informatica

